"DATE","DEATHS","AVERAGE"
"2020-03-10",1,0.14285714285714285
"2020-03-11",3,0.5714285714285714
"2020-03-12",1,0.7142857142857143
"2020-03-13",3,1.1428571428571428
"2020-03-14",5,1.8571428571428572
"2020-03-15",5,2.5714285714285716
"2020-03-16",12,4.285714285714286
"2020-03-17",10,5.571428571428571
"2020-03-18",23,8.428571428571429
"2020-03-19",34,13.142857142857142
"2020-03-20",37,18
"2020-03-21",40,23
"2020-03-22",47,29
"2020-03-23",78,38.42857142857143
"2020-03-24",78,48.142857142857146
"2020-03-25",107,60.142857142857146
"2020-03-26",103,70
"2020-03-27",128,83
"2020-03-28",142,97.57142857142857
"2020-03-29",149,112.14285714285714
"2020-03-30",170,125.28571428571429
"2020-03-31",208,143.85714285714286
"2020-04-01",233,161.85714285714286
"2020-04-02",219,178.42857142857142
"2020-04-03",236,193.85714285714286
"2020-04-04",271,212.28571428571428
"2020-04-05",248,226.42857142857142
"2020-04-06",256,238.71428571428572
"2020-04-07",278,248.71428571428572
"2020-04-08",322,261.42857142857144
"2020-04-09",273,269.14285714285717
"2020-04-10",301,278.42857142857144
"2020-04-11",284,280.2857142857143
"2020-04-12",266,282.85714285714283
"2020-04-13",277,285.85714285714283
"2020-04-14",261,283.42857142857144
"2020-04-15",281,277.57142857142856
"2020-04-16",246,273.7142857142857
"2020-04-17",204,259.85714285714283
"2020-04-18",208,249
"2020-04-19",191,238.28571428571428
"2020-04-20",203,227.71428571428572
"2020-04-21",203,219.42857142857142
"2020-04-22",181,205.14285714285714
"2020-04-23",155,192.14285714285714
"2020-04-24",155,185.14285714285714
"2020-04-25",142,175.71428571428572
"2020-04-26",153,170.28571428571428
"2020-04-27",134,160.42857142857142
"2020-04-28",110,147.14285714285714
"2020-04-29",106,136.42857142857142
"2020-04-30",88,126.85714285714286
"2020-05-01",93,118
"2020-05-02",76,108.57142857142857
"2020-05-03",94,100.14285714285714
"2020-05-04",93,94.28571428571429
"2020-05-05",81,90.14285714285714
"2020-05-06",75,85.71428571428571
"2020-05-07",70,83.14285714285714
"2020-05-08",74,80.42857142857143
"2020-05-09",71,79.71428571428571
"2020-05-10",73,76.71428571428571
"2020-05-11",65,72.71428571428571
"2020-05-12",45,67.57142857142857
"2020-05-13",57,65
"2020-05-14",43,61.142857142857146
"2020-05-15",45,57
"2020-05-16",29,51
"2020-05-17",31,45
"2020-05-18",36,40.857142857142854
"2020-05-19",32,39
"2020-05-20",30,35.142857142857146
"2020-05-21",35,34
"2020-05-22",41,33.42857142857143
"2020-05-23",26,33
"2020-05-24",34,33.42857142857143
"2020-05-25",26,32
"2020-05-26",24,30.857142857142858
"2020-05-27",24,30
"2020-05-28",27,28.857142857142858
"2020-05-29",16,25.285714285714285
"2020-05-30",24,25
"2020-05-31",21,23.142857142857142
"2020-06-01",21,22.428571428571427
"2020-06-02",24,22.428571428571427
"2020-06-03",19,21.714285714285715
"2020-06-04",14,19.857142857142858
