DATE,TYPE,REGION,VIALS,DOSES_PER_VIAL,DOSES,MAX_DOSES_PER_VIAL,MAX_DOSES
2020-12-26,Pfizer/BioNTech,Flanders,1950,5,9750,5,9750
2021-01-04,Pfizer/BioNTech,Stock,1755,5,8775,5,8775
2021-01-04,Pfizer/BioNTech,Flanders,8775,5,43875,5,43875
2021-01-04,Pfizer/BioNTech,Wallonia,7215,5,36075,5,36075
2021-01-04,Pfizer/BioNTech,Brussels,1560,5,7800,5,7800
2021-01-04,Pfizer/BioNTech,Ostbelgien,390,5,1950,5,1950
2021-01-05,Pfizer/BioNTech,Flanders,7215,5,36075,5,36075
2021-01-05,Pfizer/BioNTech,Wallonia,3120,5,15600,5,15600
2021-01-05,Pfizer/BioNTech,Brussels,1170,5,5850,5,5850
2021-01-05,Pfizer/BioNTech,Ostbelgien,195,5,975,5,975
2021-01-06,Pfizer/BioNTech,Wallonia,585,5,2925,5,2925
2021-01-07,Pfizer/BioNTech,Wallonia,585,5,2925,5,2925
2021-01-11,Pfizer/BioNTech,Flanders,195,5,975,5,975
2021-01-11,Pfizer/BioNTech,Stock,-195,5,-975,5,-975
2021-01-11,Pfizer/BioNTech,Wallonia,2145,5,10725,5,10725
2021-01-11,Pfizer/BioNTech,Brussels,585,5,2925,5,2925
2021-01-12,Pfizer/BioNTech,Flanders,10725,5,53625,5,53625
2021-01-12,Pfizer/BioNTech,Wallonia,5655,5,28275,5,28275
2021-01-12,Pfizer/BioNTech,Brussels,390,5,1950,5,1950
2021-01-15,Moderna,Flanders,920,10,9200,10,9200
2021-01-15,Moderna,Wallonia,1380,10,13800,10,13800
2021-01-15,Moderna,Brussels,460,10,4600,10,4600
2021-01-15,Moderna,Ostbelgien,100,10,1000,10,1000
2021-01-18,Moderna,Stock,40,10,400,10,400
2021-01-18,Pfizer/BioNTech,Stock,-1170,6,-7020,6,-7020
2021-01-18,Moderna,Brussels,100,10,1000,10,1000
2021-01-18,Pfizer/BioNTech,Brussels,780,6,4680,6,4680
2021-01-18,Pfizer/BioNTech,Flanders,1170,6,7020,6,7020
2021-01-18,Pfizer/BioNTech,Wallonia,1365,6,8190,6,8190
2021-01-19,Pfizer/BioNTech,Flanders,4875,6,29250,6,29250
2021-01-19,Pfizer/BioNTech,Wallonia,1170,6,7020,6,7020
2021-01-20,Pfizer/BioNTech,Flanders,5070,6,30420,6,30420
2021-01-20,Pfizer/BioNTech,Brussels,1170,6,7020,6,7020
2021-01-24,AstraZeneca,Wallonia,2710,10,27100,10,27100
2021-01-24,AstraZeneca,Brussels,880,10,8800,10,8800
2021-01-24,AstraZeneca,Ostbelgien,50,10,500,10,500
2021-01-24,AstraZeneca,Other,200,10,2000,10,2000
2021-01-24,AstraZeneca,Stock,30,10,300,10,300
2021-01-25,Pfizer/BioNTech,Stock,975,6,5850,6,5850
2021-01-25,Pfizer/BioNTech,Flanders,3315,6,19890,6,19890
2021-01-25,Pfizer/BioNTech,Wallonia,3705,6,22230,6,22230
2021-01-25,Pfizer/BioNTech,Brussels,585,6,3510,6,3510
2021-01-25,Pfizer/BioNTech,Ostbelgien,195,6,1170,6,1170
2021-01-26,Pfizer/BioNTech,Flanders,3120,6,18720,6,18720
2021-01-26,Pfizer/BioNTech,Wallonia,1170,6,7020,6,7020
2021-01-30,Moderna,Brussels,190,10,1900,10,1900
2021-01-30,Moderna,Ostbelgien,100,10,1000,10,1000
2021-02-01,Pfizer/BioNTech,Flanders,7410,6,44460,6,44460
2021-02-01,Pfizer/BioNTech,Wallonia,3315,6,19890,6,19890
2021-02-01,Pfizer/BioNTech,Brussels,1170,6,7020,6,7020
2021-02-02,Pfizer/BioNTech,Stock,195,6,1170,6,1170
2021-02-02,Pfizer/BioNTech,Flanders,2145,6,12870,6,12870
2021-02-02,Pfizer/BioNTech,Wallonia,1560,6,9360,6,9360
2021-02-02,Pfizer/BioNTech,Brussels,195,6,1170,6,1170
2021-02-02,Pfizer/BioNTech,Ostbelgien,195,6,1170,6,1170
2021-02-04,Moderna,Flanders,1370,10,13700,10,13700
2021-02-04,Moderna,Stock,20,10,200,10,200
2021-02-05,AstraZeneca,Flanders,2770,10,27700,10,27700
2021-02-05,AstraZeneca,Wallonia,1500,10,15000,10,15000
2021-02-05,AstraZeneca,Brussels,480,10,4800,10,4800
2021-02-05,AstraZeneca,Ostbelgien,30,10,300,10,300
2021-02-05,AstraZeneca,Stock,20,10,200,10,200
2021-02-08,Pfizer/BioNTech,Other,195,6,1170,6,1170
2021-02-08,Pfizer/BioNTech,Stock,-390,6,-2340,6,-2340
2021-02-08,Pfizer/BioNTech,Flanders,7605,6,45630,6,45630
2021-02-08,Pfizer/BioNTech,Wallonia,3315,6,19890,6,19890
2021-02-08,Pfizer/BioNTech,Brussels,1170,6,7020,6,7020
2021-02-09,Pfizer/BioNTech,Flanders,2340,6,14040,6,14040
2021-02-09,Pfizer/BioNTech,Wallonia,1755,6,10530,6,10530
2021-02-09,Pfizer/BioNTech,Brussels,195,6,1170,6,1170
2021-02-09,Pfizer/BioNTech,Ostbelgien,195,6,1170,6,1170
