"Date","Region","Province","AgeGroup","Gender","PartlyVaccinated","FullyVaccinated"
"2020-12-28","Brussels","NA","NA","NA",56,0
"2020-12-28","Flanders","NA","NA","NA",123,0
"2020-12-28","Wallonia","NA","NA","NA",119,0
"2020-12-29","Flanders","NA","NA","NA",1,0
"2020-12-30","Brussels","NA","NA","NA",5,0
"2020-12-30","Flanders","NA","NA","NA",473,0
"2020-12-30","Wallonia","NA","NA","NA",1,0
"2020-12-31","Flanders","NA","NA","NA",9,0
"2021-01-04","Flanders","NA","NA","NA",1,0
"2021-01-05","Brussels","NA","NA","NA",577,0
"2021-01-05","Flanders","NA","NA","NA",33,0
"2021-01-05","Wallonia","NA","NA","NA",889,0
"2021-01-06","Brussels","NA","NA","NA",983,0
"2021-01-06","Flanders","NA","NA","NA",851,0
"2021-01-06","Wallonia","NA","NA","NA",1917,0
"2021-01-07","Brussels","NA","NA","NA",940,0
"2021-01-07","Flanders","NA","NA","NA",2137,0
"2021-01-07","Wallonia","NA","NA","NA",4903,0
"2021-01-08","Brussels","NA","NA","NA",1224,0
"2021-01-08","Flanders","NA","NA","NA",2936,0
"2021-01-08","Wallonia","NA","NA","NA",4883,0
"2021-01-09","Brussels","NA","NA","NA",1,0
"2021-01-09","Flanders","NA","NA","NA",3139,0
"2021-01-09","Wallonia","NA","NA","NA",36,0
"2021-01-10","Brussels","NA","NA","NA",11,0
"2021-01-10","Flanders","NA","NA","NA",346,0
"2021-01-10","Wallonia","NA","NA","NA",36,0
"2021-01-11","Brussels","NA","NA","NA",10,0
"2021-01-11","Flanders","NA","NA","NA",3725,0
"2021-01-11","Wallonia","NA","NA","NA",1655,0
"2021-01-12","Brussels","NA","NA","NA",976,0
"2021-01-12","Flanders","NA","NA","NA",7936,0
"2021-01-12","Wallonia","NA","NA","NA",6153,0
"2021-01-13","Brussels","NA","NA","NA",3161,0
"2021-01-13","Flanders","NA","NA","NA",9189,0
"2021-01-13","Wallonia","NA","NA","NA",7554,0
"2021-01-14","Brussels","NA","NA","NA",1671,0
"2021-01-14","Flanders","NA","NA","NA",12668,0
"2021-01-14","Wallonia","NA","NA","NA",6519,0
"2021-01-15","Brussels","NA","NA","NA",789,0
"2021-01-15","Flanders","NA","NA","NA",14225,0
"2021-01-15","Wallonia","NA","NA","NA",6324,0
"2021-01-16","Brussels","NA","NA","NA",9,0
"2021-01-16","Flanders","NA","NA","NA",4538,0
"2021-01-16","Wallonia","NA","NA","NA",305,0
"2021-01-17","Brussels","NA","NA","NA",4,0
"2021-01-17","Flanders","NA","NA","NA",2835,0
"2021-01-17","Wallonia","NA","NA","NA",1,0
"2021-01-18","Brussels","NA","NA","NA",121,0
"2021-01-18","Flanders","NA","NA","NA",5491,109
"2021-01-18","Wallonia","NA","NA","NA",4093,0
"2021-01-19","Brussels","NA","NA","NA",1233,55
"2021-01-19","Flanders","NA","NA","NA",9724,10
"2021-01-19","Wallonia","NA","NA","NA",6113,116
"2021-01-20","Brussels","NA","NA","NA",790,4
"2021-01-20","Flanders","NA","NA","NA",12535,419
"2021-01-20","Wallonia","NA","NA","NA",4953,0
"2021-01-21","Brussels","NA","NA","NA",755,0
"2021-01-21","Flanders","NA","NA","NA",17437,0
"2021-01-21","Wallonia","NA","NA","NA",6935,0
"2021-01-22","Brussels","NA","NA","NA",456,1
"2021-01-22","Flanders","NA","NA","NA",19202,29
"2021-01-22","Wallonia","NA","NA","NA",4614,1
"2021-01-23","Brussels","NA","NA","NA",129,0
"2021-01-23","Flanders","NA","NA","NA",5811,7
"2021-01-23","Wallonia","NA","NA","NA",417,0
"2021-01-24","Brussels","NA","NA","NA",3,0
"2021-01-24","Flanders","NA","NA","NA",1463,0
"2021-01-24","Wallonia","NA","NA","NA",104,0
"2021-01-25","Brussels","NA","NA","NA",22,0
"2021-01-25","Flanders","NA","NA","NA",5786,0
"2021-01-25","Wallonia","NA","NA","NA",1062,0
"2021-01-26","Brussels","NA","NA","NA",171,485
"2021-01-26","Flanders","NA","NA","NA",1993,28
"2021-01-26","Wallonia","NA","NA","NA",806,338
